source,target,type,stage,weight
PROC_364,학생부교과,REQUIRES,1,25.0
PROC_364,학생부비교과,REQUIRES,1,5.0
PROC_364,수능,REQUIRES,1,70.0
PROC_365,학생부교과,REQUIRES,1,25.0
PROC_365,학생부비교과,REQUIRES,1,5.0
PROC_365,수능,REQUIRES,1,70.0
PROC_366,학생부교과,REQUIRES,1,25.0
PROC_366,학생부비교과,REQUIRES,1,5.0
PROC_366,수능,REQUIRES,1,70.0
PROC_367,학생부교과,REQUIRES,1,25.0
PROC_367,학생부비교과,REQUIRES,1,5.0
PROC_367,수능,REQUIRES,1,70.0
PROC_368,학생부교과,REQUIRES,1,25.0
PROC_368,학생부비교과,REQUIRES,1,5.0
PROC_368,수능,REQUIRES,1,70.0
PROC_369,학생부교과,REQUIRES,1,25.0
PROC_369,학생부비교과,REQUIRES,1,5.0
PROC_369,실기,REQUIRES,1,70.0
PROC_370,학생부교과,REQUIRES,1,25.0
PROC_370,학생부비교과,REQUIRES,1,5.0
PROC_370,수능,REQUIRES,1,70.0
PROC_371,학생부교과,REQUIRES,1,25.0
PROC_371,학생부비교과,REQUIRES,1,5.0
PROC_371,수능,REQUIRES,1,70.0
PROC_372,학생부교과,REQUIRES,1,25.0
PROC_372,학생부비교과,REQUIRES,1,5.0
PROC_372,수능,REQUIRES,1,70.0
PROC_373,학생부교과,REQUIRES,1,25.0
PROC_373,학생부비교과,REQUIRES,1,5.0
PROC_373,수능,REQUIRES,1,70.0
PROC_374,학생부교과,REQUIRES,1,25.0
PROC_374,학생부비교과,REQUIRES,1,5.0
PROC_374,수능,REQUIRES,1,70.0
PROC_375,학생부교과,REQUIRES,1,25.0
PROC_375,학생부비교과,REQUIRES,1,5.0
PROC_375,수능,REQUIRES,1,70.0
PROC_376,학생부교과,REQUIRES,1,25.0
PROC_376,학생부비교과,REQUIRES,1,5.0
PROC_376,수능,REQUIRES,1,70.0
PROC_377,학생부교과,REQUIRES,1,25.0
PROC_377,학생부비교과,REQUIRES,1,5.0
PROC_377,수능,REQUIRES,1,70.0
PROC_378,학생부교과,REQUIRES,1,25.0
PROC_378,학생부비교과,REQUIRES,1,5.0
PROC_378,수능,REQUIRES,1,70.0
PROC_379,학생부교과,REQUIRES,1,25.0
PROC_379,학생부비교과,REQUIRES,1,5.0
