source,target,type
D102,PROC_137,OFFERS
PROC_137,D102_부동산학과,FOR_MAJOR
PROC_137,가군,IN_PERIOD
D102,PROC_138,OFFERS
PROC_138,D102_사회학과,FOR_MAJOR
PROC_138,가군,IN_PERIOD
D102,PROC_139,OFFERS
PROC_139,D102_미디어커뮤니케이션학과,FOR_MAJOR
PROC_139,가군,IN_PERIOD
D102,PROC_140,OFFERS
PROC_140,D102_영상문화학과,FOR_MAJOR
PROC_140,가군,IN_PERIOD
D102,PROC_141,OFFERS
PROC_141,D102_정치외교학과,FOR_MAJOR
PROC_141,가군,IN_PERIOD
D102,PROC_142,OFFERS
PROC_142,D102_교육학과,FOR_MAJOR
PROC_142,나군,IN_PERIOD
D102,PROC_143,OFFERS
PROC_143,D102_국어교육과,FOR_MAJOR
PROC_143,나군,IN_PERIOD
D102,PROC_144,OFFERS
PROC_144,D102_역사교육과,FOR_MAJOR
PROC_144,나군,IN_PERIOD
D102,PROC_145,OFFERS
PROC_145,D102_영어교육과,FOR_MAJOR
PROC_145,나군,IN_PERIOD
D102,PROC_146,OFFERS
PROC_146,D102_윤리교육과,FOR_MAJOR
PROC_146,나군,IN_PERIOD
D102,PROC_147,OFFERS
PROC_147,D102_일반사회교육과,FOR_MAJOR
PROC_147,나군,IN_PERIOD
D102,PROC_148,OFFERS
PROC_148,D102_자유전공학부(인문계열),FOR_MAJOR
PROC_148,나군,IN_PERIOD
D102,PROC_149,OFFERS
PROC_149,D102_지리교육과,FOR_MAJOR
PROC_149,나군,IN_PERIOD
D102,PROC_150,OFFERS
PROC_150,D102_한문교육과,FOR_MAJOR
PROC_150,나군,IN_PERIOD
D102,PROC_151,OFFERS
PROC_151,D102_건축학과(5년제),FOR_MAJOR
PROC_151,가군,IN_PERIOD
D102,PROC_152,OFFERS
PROC_152,D102_기계융합공학부,FOR_MAJOR
PROC_152,가군,IN_PERIOD
D102,PROC_153,OFFERS
PROC_153,D102_동물산업융합학과,FOR_MAJOR
PROC_153,가군,IN_PERIOD
D102,PROC_154,OFFERS
PROC_154,D102_동물응용과학과,FOR_MAJOR
PROC_154,가군,IN_PERIOD
D102,PROC_155,OFFERS
PROC_155,D102_동물자원과학과,FOR_MAJOR
PROC_155,가군,IN_PERIOD
D102,PROC_156,OFFERS
PROC_156,D102_분자생명과학과,FOR_MAJOR
PROC_156,가군,IN_PERIOD
D102,PROC_157,OFFERS
PROC_157,D102_생명건강공학과,FOR_MAJOR
PROC_157,가군,IN_PERIOD
D102,PROC_158,OFFERS
PROC_158,D102_생물의소재공학과,FOR_MAJOR
PROC_158,가군,IN_PERIOD
D102,PROC_159,OFFERS
PROC_159,D102_수의학과,FOR_MAJOR
PROC_159,가군,IN_PERIOD
D102,PROC_160,OFFERS
PROC_160,D102_에너지자원공학과,FOR_MAJOR
PROC_160,가군,IN_PERIOD
D102,PROC_161,OFFERS
PROC_161,D102_화공생물공학부,FOR_MAJOR
PROC_161,가군,IN_PERIOD
D102,PROC_162,OFFERS
PROC_162,D102_가정교육과,FOR_MAJOR
PROC_162,나군,IN_PERIOD
D102,PROC_163,OFFERS
PROC_163,D102_간호학과,FOR_MAJOR
PROC_163,나군,IN_PERIOD
D102,PROC_164,OFFERS
PROC_164,D102_과학교육학부,FOR_MAJOR
PROC_164,나군,IN_PERIOD
D102,PROC_165,OFFERS
PROC_165,D102_반도체물리학과,FOR_MAJOR
PROC_165,나군,IN_PERIOD
D102,PROC_166,OFFERS
PROC_166,D102_스마트팜융합바이오시스템공학과,FOR_MAJOR
PROC_166,나군,IN_PERIOD
D102,PROC_167,OFFERS
PROC_167,D102_생명과학과,FOR_MAJOR
PROC_167,나군,IN_PERIOD
D102,PROC_168,OFFERS
PROC_168,D102_생물자원과학부,FOR_MAJOR
PROC_168,나군,IN_PERIOD
D102,PROC_169,OFFERS
PROC_169,D102_생태조경디자인학과,FOR_MAJOR
PROC_169,나군,IN_PERIOD
D102,PROC_170,OFFERS
PROC_170,D102_수학과,FOR_MAJOR
PROC_170,나군,IN_PERIOD
D102,PROC_171,OFFERS
PROC_171,D102_수학교육과,FOR_MAJOR
PROC_171,나군,IN_PERIOD
D102,PROC_172,OFFERS
PROC_172,D102_자유전공학부(자연계열),FOR_MAJOR
PROC_172,나군,IN_PERIOD
D102,PROC_173,OFFERS
PROC_173,D102_전기전자공학과,FOR_MAJOR
PROC_173,나군,IN_PERIOD
D102,PROC_174,OFFERS
PROC_174,D102_전자공학과,FOR_MAJOR
PROC_174,나군,IN_PERIOD
D102,PROC_175,OFFERS
PROC_175,D102_지역건설공학과,FOR_MAJOR
PROC_175,나군,IN_PERIOD
D102,PROC_176,OFFERS
PROC_176,D102_지질지구물리학부,FOR_MAJOR
PROC_176,나군,IN_PERIOD
D102,PROC_177,OFFERS
PROC_177,D102_컴퓨터공학과,FOR_MAJOR
PROC_177,나군,IN_PERIOD
D102,PROC_178,OFFERS
PROC_178,D102_화학생화학부,FOR_MAJOR
PROC_178,나군,IN_PERIOD
D102,PROC_179,OFFERS
PROC_179,D102_생명환경융합학부,FOR_MAJOR
PROC_179,나군,IN_PERIOD
D102,PROC_180,OFFERS
PROC_180,D102_스포츠과학과,FOR_MAJOR
PROC_180,가군,IN_PERIOD
D102,PROC_181,OFFERS
PROC_181,D102_체육교육과,FOR_MAJOR
PROC_181,나군,IN_PERIOD
D102,PROC_182,OFFERS
PROC_182,D102_음악학과(관현악전공-관악-금관),FOR_MAJOR
PROC_182,가군,IN_PERIOD
D102,PROC_183,OFFERS
PROC_183,D102_음악학과(관현악전공-현악),FOR_MAJOR
PROC_183,가군,IN_PERIOD
D102,PROC_184,OFFERS
PROC_184,D102_음악학과(성악),FOR_MAJOR
PROC_184,가군,IN_PERIOD
D102,PROC_185,OFFERS
PROC_185,D102_음악학과(작곡),FOR_MAJOR
PROC_185,가군,IN_PERIOD
D115,강원,LOCATED_IN
D115,PROC_186,OFFERS
PROC_186,D115_자유전공학부(인문계열),FOR_MAJOR
PROC_186,나군,IN_PERIOD
D115,PROC_187,OFFERS
PROC_187,D115_사회복지학과,FOR_MAJOR
PROC_187,다군,IN_PERIOD
D115,PROC_188,OFFERS
PROC_188,D115_유아교육과,FOR_MAJOR
PROC_188,다군,IN_PERIOD
D115,PROC_189,OFFERS
PROC_189,D115_일본학과,FOR_MAJOR
PROC_189,다군,IN_PERIOD
D115,PROC_190,OFFERS
PROC_190,D115_간호학과,FOR_MAJOR
PROC_190,나군,IN_PERIOD
D115,PROC_191,OFFERS
PROC_191,D115_물리치료학과,FOR_MAJOR
PROC_191,나군,IN_PERIOD
D115,PROC_192,OFFERS
PROC_192,D115_방사선학과,FOR_MAJOR
PROC_192,나군,IN_PERIOD
D115,PROC_193,OFFERS
PROC_193,D115_바이오기능성소재학과,FOR_MAJOR
PROC_193,다군,IN_PERIOD
D115,PROC_194,OFFERS
PROC_194,D115_식품영양학과,FOR_MAJOR
PROC_194,나군,IN_PERIOD
D115,PROC_195,OFFERS
PROC_195,D115_안경광학과,FOR_MAJOR
PROC_195,나군,IN_PERIOD
D115,PROC_196,OFFERS
PROC_196,D115_응급구조학과,FOR_MAJOR
PROC_196,나군,IN_PERIOD
D115,PROC_197,OFFERS
PROC_197,D115_자유전공학부(자연계열),FOR_MAJOR
PROC_197,나군,IN_PERIOD
D115,PROC_198,OFFERS
PROC_198,D115_작업치료학과,FOR_MAJOR
PROC_198,나군,IN_PERIOD
D115,PROC_199,OFFERS
PROC_199,D115_치위생학과,FOR_MAJOR
PROC_199,나군,IN_PERIOD
D115,PROC_200,OFFERS
PROC_200,D115_소방방재학부,FOR_MAJOR
PROC_200,다군,IN_PERIOD
D103,강원,LOCATED_IN
D103,PROC_201,OFFERS
PROC_201,D103_기계공학과,FOR_MAJOR
PROC_201,나군,IN_PERIOD
D103,PROC_202,OFFERS
PROC_202,D103_그린에너지공학과,FOR_MAJOR
PROC_202,다군,IN_PERIOD
D103,PROC_203,OFFERS
PROC_203,D103_전기공학과,FOR_MAJOR
PROC_203,다군,IN_PERIOD
D103,PROC_204,OFFERS
PROC_204,D103_휴먼스포츠학과,FOR_MAJOR
PROC_204,나군,IN_PERIOD
D103,PROC_205,OFFERS
PROC_205,D103_멀티디자인학과,FOR_MAJOR
PROC_205,나군,IN_PERIOD
D103,PROC_206,OFFERS
PROC_206,D103_생활조형디자인학과,FOR_MAJOR
PROC_206,나군,IN_PERIOD
A104,서울,LOCATED_IN
A104,PROC_207,OFFERS
PROC_207,A104_국제무역학과,FOR_MAJOR
PROC_207,가군,IN_PERIOD
A104,PROC_208,OFFERS
PROC_208,A104_기술경영학과,FOR_MAJOR
PROC_208,가군,IN_PERIOD
A104,PROC_209,OFFERS
PROC_209,A104_영어교육과,FOR_MAJOR
PROC_209,가군,IN_PERIOD
A104,PROC_210,OFFERS
PROC_210,A104_일어교육과,FOR_MAJOR
PROC_210,가군,IN_PERIOD
A104,PROC_211,OFFERS
PROC_211,A104_경영학과,FOR_MAJOR
PROC_211,나군,IN_PERIOD
A104,PROC_212,OFFERS
PROC_212,A104_경제학과,FOR_MAJOR
PROC_212,나군,IN_PERIOD
A104,PROC_213,OFFERS
PROC_213,A104_교육공학과,FOR_MAJOR
PROC_213,나군,IN_PERIOD
A104,PROC_214,OFFERS
PROC_214,A104_국어국문학과,FOR_MAJOR
PROC_214,나군,IN_PERIOD
A104,PROC_215,OFFERS
PROC_215,A104_문화콘텐츠학과,FOR_MAJOR
PROC_215,나군,IN_PERIOD
A104,PROC_216,OFFERS
PROC_216,A104_부동산학과,FOR_MAJOR
PROC_216,나군,IN_PERIOD
A104,PROC_217,OFFERS
PROC_217,A104_사학과,FOR_MAJOR
PROC_217,나군,IN_PERIOD
A104,PROC_218,OFFERS
PROC_218,A104_영어영문학과,FOR_MAJOR
PROC_218,나군,IN_PERIOD
A104,PROC_219,OFFERS
PROC_219,A104_응용통계학과,FOR_MAJOR
PROC_219,나군,IN_PERIOD
A104,PROC_220,OFFERS
PROC_220,A104_의상디자인학과(인문계),FOR_MAJOR
PROC_220,나군,IN_PERIOD
A104,PROC_221,OFFERS
PROC_221,A104_정치외교학과,FOR_MAJOR
PROC_221,나군,IN_PERIOD
A104,PROC_222,OFFERS
PROC_222,A104_중어중문학과,FOR_MAJOR
PROC_222,나군,IN_PERIOD
A104,PROC_223,OFFERS
PROC_223,A104_지리학과,FOR_MAJOR
PROC_223,나군,IN_PERIOD
A104,PROC_224,OFFERS
PROC_224,A104_철학과,FOR_MAJOR
PROC_224,나군,IN_PERIOD
A104,PROC_225,OFFERS
PROC_225,A104_행정학과,FOR_MAJOR
PROC_225,나군,IN_PERIOD
A104,PROC_226,OFFERS
PROC_226,A104_미디어커뮤니케이션학과,FOR_MAJOR
PROC_226,나군,IN_PERIOD
A104,PROC_227,OFFERS
PROC_227,A104_건축학부,FOR_MAJOR
PROC_227,가군,IN_PERIOD
A104,PROC_228,OFFERS
PROC_228,A104_물리학과,FOR_MAJOR
PROC_228,가군,IN_PERIOD
A104,PROC_229,OFFERS
PROC_229,A104_생물공학과,FOR_MAJOR
PROC_229,가군,IN_PERIOD
A104,PROC_230,OFFERS
PROC_230,A104_수의예과,FOR_MAJOR
